settlement,teaor,bin,count,generated_count,diff
Kiskõrös,68,1-4,48,60,12
Kiskõrös,69,1-4,68,85,17
Kiskõrös,69,5-9,8,10,2
Kiskõrös,70,1-4,42,52,10
Kiskõrös,73,1-4,8,10,2
Kiskõrös,74,1-4,42,52,10
Kiskõrös,81,1-4,16,20,4
Kiskõrös,82,1-4,25,31,6
Kiskõrös,85,1-4,34,42,8
Kiskõrös,86,1-4,37,46,9
Kiskõrös,90,1-4,12,15,3
Kiskõrös,93,1-4,10,12,2
Kiskõrös,94,1-4,5,6,1
Kiskõrös,95,1-4,10,12,2
Kiskõrös,96,1-4,84,104,20
Kisköre,1,1-4,23,29,6
Kisköre,22,10-19,17,21,4
Kisköre,23,10-19,13,16,3
Kisköre,24,10-19,6,8,2
Kisköre,25,10-19,60,75,15
Kisköre,26,10-19,8,10,2
Kisköre,27,10-19,8,10,2
Kisköre,41,1-4,7,9,2
Kisköre,43,1-4,17,21,4
Kisköre,47,1-4,15,19,4
Kisköre,58,1-4,5,6,1
Kisköre,96,1-4,9,11,2
Kislippó,32,10-19,10,12,2
Kislippó,33,10-19,14,17,3
Kisláng,1,1-4,51,63,12
Kisláng,23,20-49,7,9,2
Kisláng,25,20-49,27,34,7
Kisláng,31,20-49,5,6,1
Kisláng,32,20-49,9,11,2
Kisláng,33,20-49,10,12,2
Kisláng,43,1-4,36,45,9
Kisláng,47,1-4,7,9,2
Kisláng,96,1-4,10,12,2
Kisléta,1,1-4,18,22,4
Kisléta,43,1-4,8,10,2
Kisléta,45,1-4,6,8,2
Kisléta,47,1-4,7,9,2
Kislõd,1,1-4,6,8,2
Kislõd,43,1-4,9,11,2
Kislõd,96,1-4,8,10,2
Kismarja,1,1-4,22,27,5
Kismarja,47,1-4,5,6,1
Kismaros,25,1-4,5,6,1
Kismaros,31,1-4,5,6,1
Kismaros,33,1-4,5,6,1
Kismaros,41,1-4,6,8,2
Kismaros,43,1-4,45,56,11
Kismaros,47,1-4,14,17,3
Kismaros,56,1-4,5,6,1
Kismaros,59,1-4,5,6,1
Kismaros,62,1-4,22,27,5
Kismaros,68,1-4,6,8,2
Kismaros,69,1-4,8,10,2
Kismaros,70,1-4,10,12,2
Kismaros,74,1-4,11,14,3
Kismaros,77,1-4,5,6,1
Kismaros,81,1-4,6,8,2
Kismaros,85,1-4,10,12,2
Kismaros,86,1-4,7,9,2
Kismaros,90,1-4,11,14,3
Kismaros,96,1-4,11,14,3
Kismányok,1,1-4,6,8,2
Kismányok,43,1-4,5,6,1
Kisnamény,1,1-4,10,12,2
Kisnána,1,1-4,6,8,2
Kisnána,43,1-4,9,11,2
Kisnána,47,1-4,13,16,3
Kisnémedi,1,1-4,5,6,1
Kisnémedi,43,1-4,6,8,2
Kisnémedi,47,1-4,5,6,1
Kisoroszi,43,1-4,11,14,3
Kisoroszi,47,1-4,10,12,2
Kisoroszi,56,1-4,6,8,2
Kisoroszi,62,1-4,6,8,2
Kisoroszi,70,1-4,10,12,2
Kisoroszi,74,1-4,7,9,2
Kisoroszi,82,1-4,5,6,1
Kisoroszi,90,1-4,10,12,2
Kisoroszi,96,1-4,7,9,2
Kispalád,1,1-4,6,8,2
Kispirit,25,1-4,13,16,3
Kisrécse,1,1-4,7,9,2
Kisszekeres,1,1-4,15,19,4
Kisszekeres,47,1-4,5,6,1
Kisszállás,1,1-4,53,66,13
Kisszállás,43,1-4,12,15,3
Kisszállás,45,1-4,6,8,2
Kisszállás,47,1-4,12,15,3
Kisszállás,70,1-4,5,6,1
Kisszállás,74,1-4,5,6,1
Kistapolca,1,1-4,6,8,2
Kistarcsa,1,1-4,6,8,2
Kistarcsa,10,1-4,5,6,1
Kistarcsa,18,1-4,6,8,2
Kistarcsa,25,1-4,5,6,1
Kistarcsa,32,1-4,8,10,2
Kistarcsa,33,1-4,8,10,2
Kistarcsa,41,1-4,24,30,6
Kistarcsa,41,5-9,7,9,2
Kistarcsa,42,1-4,11,14,3
Kistarcsa,42,5-9,5,6,1
Kistarcsa,43,1-4,155,193,38
Kistarcsa,43,10-19,7,9,2
Kistarcsa,43,5-9,10,12,2
Kistarcsa,45,1-4,44,55,11
Kistarcsa,45,10-19,5,6,1
Kistarcsa,46,1-4,17,21,4
Kistarcsa,46,5-9,6,8,2
Kistarcsa,47,1-4,83,103,20
Kistarcsa,47,10-19,8,10,2
Kistarcsa,47,5-9,14,17,3
Kistarcsa,49,1-4,34,42,8
Kistarcsa,52,1-4,9,11,2
Kistarcsa,53,1-4,19,24,5
Kistarcsa,56,1-4,33,41,8
Kistarcsa,58,1-4,7,9,2
Kistarcsa,59,1-4,11,14,3
Kistarcsa,62,1-4,49,61,12
Kistarcsa,63,1-4,9,11,2
Kistarcsa,66,1-4,23,29,6
Kistarcsa,68,1-4,41,51,10
Kistarcsa,69,1-4,62,77,15
Kistarcsa,70,1-4,42,52,10
Kistarcsa,73,1-4,14,17,3
Kistarcsa,74,1-4,37,46,9
Kistarcsa,77,1-4,7,9,2
Kistarcsa,80,1-4,6,8,2
Kistarcsa,81,1-4,38,47,9
Kistarcsa,82,1-4,42,52,10
Kistarcsa,85,1-4,43,54,11
Kistarcsa,86,1-4,46,57,11
Kistarcsa,88,1-4,7,9,2
Kistarcsa,90,1-4,28,35,7
Kistarcsa,93,1-4,19,24,5
Kistarcsa,95,1-4,21,26,5
Kistarcsa,96,1-4,98,122,24
Kistelek,1,1-4,235,292,57
Kistelek,16,1-4,6,8,2
Kistelek,41,1-4,15,19,4
Kistelek,42,1-4,5,6,1
Kistelek,43,1-4,72,90,18
Kistelek,43,5-9,6,8,2
Kistelek,45,1-4,26,32,6
Kistelek,46,1-4,10,12,2
Kistelek,47,1-4,54,67,13
Kistelek,47,10-19,5,6,1
Kistelek,49,1-4,14,17,3
Kistelek,56,1-4,15,19,4
Kistelek,62,1-4,8,10,2
Kistelek,66,1-4,15,19,4
Kistelek,68,1-4,6,8,2
Kistelek,69,1-4,16,20,4
Kistelek,70,1-4,13,16,3
Kistelek,74,1-4,15,19,4
Kistelek,82,1-4,8,10,2
Kistelek,85,1-4,29,36,7
Kistelek,86,1-4,21,26,5
Kistelek,90,1-4,5,6,1
Kistelek,93,1-4,9,11,2
Kistelek,96,1-4,48,60,12
Kistokaj,1,1-4,8,10,2
Kistokaj,16,1-4,7,9,2
Kistokaj,41,1-4,10,12,2
Kistokaj,43,1-4,23,29,6
Kistokaj,45,1-4,11,14,3
Kistokaj,47,1-4,16,20,4
Kistokaj,49,1-4,8,10,2
Kistokaj,56,1-4,6,8,2
Kistokaj,66,1-4,9,11,2
Kistokaj,68,1-4,6,8,2
Kistokaj,74,1-4,7,9,2
Kistokaj,85,1-4,6,8,2
Kistokaj,86,1-4,16,20,4
Kistokaj,96,1-4,16,20,4
Kisvarsány,1,1-4,17,21,4
Kisvarsány,33,1-4,10,12,2
Kisvarsány,43,1-4,10,12,2
Kisvarsány,85,1-4,5,6,1
Kisvarsány,96,1-4,9,11,2
Kisvejke,1,1-4,9,11,2
Kisvejke,28,1-4,13,16,3
Kisvejke,31,1-4,15,19,4
Kisvejke,32,1-4,64,80,16
Kisvejke,33,1-4,54,67,13
Kisvárda,1,1-4,136,169,33
Kisvárda,1,5-9,6,8,2
Kisvárda,31,1-4,5,6,1
Kisvárda,41,1-4,17,21,4
Kisvárda,43,1-4,111,138,27
Kisvárda,45,1-4,38,47,9
Kisvárda,46,1-4,32,40,8
Kisvárda,46,5-9,6,8,2
Kisvárda,47,1-4,172,214,42
Kisvárda,47,10-19,11,14,3
Kisvárda,47,5-9,20,25,5
Kisvárda,49,1-4,34,42,8
Kisvárda,52,1-4,8,10,2
Kisvárda,55,1-4,6,8,2
Kisvárda,56,1-4,37,46,9
Kisvárda,56,5-9,5,6,1
Kisvárda,59,1-4,6,8,2
Kisvárda,62,1-4,17,21,4
Kisvárda,63,1-4,8,10,2
Kisvárda,66,1-4,62,77,15
Kisvárda,68,1-4,42,52,10
Kisvárda,69,1-4,64,80,16
Kisvárda,69,5-9,6,8,2
Kisvárda,70,1-4,33,41,8
Kisvárda,73,1-4,7,9,2
Kisvárda,74,1-4,53,66,13
Kisvárda,77,1-4,7,9,2
Kisvárda,81,1-4,15,19,4
Kisvárda,82,1-4,24,30,6
Kisvárda,85,1-4,90,112,22
Kisvárda,86,1-4,89,111,22
Kisvárda,90,1-4,19,24,5
Kisvárda,93,1-4,11,14,3
Kisvárda,94,1-4,5,6,1
Kisvárda,95,1-4,10,12,2
Kisvárda,96,1-4,124,154,30
Kiszombor,1,1-4,82,102,20
Kiszombor,41,1-4,5,6,1
Kiszombor,43,1-4,24,30,6
Kiszombor,45,1-4,6,8,2
Kiszombor,46,1-4,17,21,4
Kiszombor,47,1-4,21,26,5
Kiszombor,49,1-4,8,10,2
Kiszombor,62,1-4,5,6,1
Kiszombor,85,1-4,6,8,2
Kiszombor,86,1-4,7,9,2
Kiszombor,93,1-4,5,6,1
Kiszombor,95,1-4,5,6,1
Kiszombor,96,1-4,24,30,6
Kisújszállás,1,1-4,111,138,27
Kisújszállás,1,10-19,5,6,1
Kisújszállás,1,5-9,7,9,2
Kisújszállás,14,1-4,8,10,2
Kisújszállás,23,50-249,6,8,2
Kisújszállás,25,50-249,40,50,10
Kisújszállás,27,50-249,7,9,2
Kisújszállás,28,50-249,9,11,2
Kisújszállás,32,50-249,14,17,3
Kisújszállás,33,50-249,12,15,3
Kisújszállás,41,1-4,5,6,1
Kisújszállás,42,1-4,5,6,1
Kisújszállás,43,1-4,73,91,18
Kisújszállás,43,5-9,5,6,1
Kisújszállás,45,1-4,16,20,4
Kisújszállás,46,1-4,8,10,2
Kisújszállás,47,1-4,77,96,19
Kisújszállás,47,5-9,7,9,2
Kisújszállás,49,1-4,15,19,4
Kisújszállás,56,1-4,21,26,5
Kisújszállás,58,1-4,8,10,2
Kisújszállás,62,1-4,11,14,3
Kisújszállás,66,1-4,21,26,5
Kisújszállás,68,1-4,9,11,2
Kisújszállás,69,1-4,16,20,4
Kisújszállás,70,1-4,11,14,3
Kisújszállás,74,1-4,18,22,4
Kisújszállás,77,1-4,9,11,2
Kisújszállás,81,1-4,8,10,2
Kisújszállás,82,1-4,11,14,3
Kisújszállás,85,1-4,32,40,8
Kisújszállás,86,1-4,12,15,3
Kisújszállás,90,1-4,15,19,4
Kisújszállás,93,1-4,10,12,2
Kisújszállás,95,1-4,6,8,2
Kisújszállás,96,1-4,65,81,16
Klárafalva,22,10-19,27,34,7
Klárafalva,23,10-19,31,39,8
Klárafalva,24,10-19,5,6,1
Klárafalva,25,10-19,130,162,32
Klárafalva,26,10-19,37,46,9
Klárafalva,27,10-19,8,10,2
Klárafalva,28,10-19,28,35,7
Klárafalva,29,10-19,6,8,2
Klárafalva,31,10-19,59,73,14
Klárafalva,32,10-19,233,290,57
Klárafalva,33,10-19,134,167,33
Kocs,1,1-4,41,51,10
Kocs,43,1-4,40,50,10
Kocs,45,1-4,7,9,2
Kocs,47,1-4,22,27,5
Kocs,69,1-4,7,9,2
Kocs,74,1-4,9,11,2
Kocs,96,1-4,15,19,4
Kocsola,1,1-4,11,14,3
Kocsola,43,1-4,6,8,2
Kocsola,47,1-4,10,12,2
Kocsord,1,1-4,28,35,7
Kocsord,41,1-4,6,8,2
Kocsord,43,1-4,19,24,5
Kocsord,45,1-4,8,10,2
Kocsord,47,1-4,25,31,6
Kocsord,56,1-4,6,8,2
Kocsord,66,1-4,9,11,2
Kocsord,81,1-4,6,8,2
Kocsord,85,1-4,11,14,3
Kocsord,86,1-4,7,9,2
Kocsord,90,1-4,5,6,1
Kocsord,96,1-4,13,16,3
Kocsér,1,1-4,44,55,11
Kocsér,43,1-4,17,21,4
Kocsér,47,1-4,9,11,2
Kokad,1,1-4,28,35,7
Kolontár,1,1-4,9,11,2
Kolontár,43,1-4,13,16,3
Komló,1,1-4,16,20,4
Komló,13,1-4,5,6,1
Komló,14,1-4,8,10,2
Komló,22,20-49,11,14,3
Komló,23,20-49,7,9,2
Komló,25,20-49,47,58,11
Komló,29,5-9,7,9,2
Komló,31,10-19,8,10,2
Komló,31,5-9,12,15,3
Komló,32,10-19,13,16,3
Komló,32,5-9,21,26,5
Komló,33,10-19,9,11,2
Komló,33,5-9,10,12,2
Komló,35,1-4,16,20,4
Komló,41,1-4,24,30,6
Komló,42,1-4,11,14,3
Komló,43,1-4,230,286,56
Komló,43,5-9,12,15,3
Komló,45,1-4,44,55,11
Komló,45,5-9,5,6,1
Komló,46,1-4,13,16,3
Komló,47,1-4,144,179,35
Komló,47,5-9,18,22,4
Komló,49,1-4,35,44,9
Komló,53,1-4,16,20,4
Komló,56,1-4,55,68,13
Komló,59,1-4,7,9,2
Komló,62,1-4,34,42,8
Komló,63,1-4,6,8,2
Komló,66,1-4,49,61,12
Komló,68,1-4,46,57,11
Komló,69,1-4,36,45,9
Komló,70,1-4,30,37,7
Komló,73,1-4,11,14,3
Komló,74,1-4,60,75,15
Komló,77,1-4,6,8,2
Komló,80,1-4,15,19,4
Komló,81,1-4,16,20,4
Komló,82,1-4,24,30,6
Komló,85,1-4,51,63,12
Komló,86,1-4,42,52,10
Komló,90,1-4,22,27,5
Komló,93,1-4,17,21,4
Komló,95,1-4,14,17,3
Komló,96,1-4,127,158,31
Komlóska,1,1-4,9,11,2
Komlóska,16,20-49,14,17,3
Komlóska,18,20-49,26,32,6
Komlóska,25,1-4,5,6,1
Komlóska,43,1-4,8,10,2
Komlóska,46,1-4,5,6,1
Komlóska,49,1-4,6,8,2
Komoró,1,1-4,24,30,6
Komoró,47,1-4,7,9,2
Kompolt,1,1-4,8,10,2
Kompolt,43,1-4,17,21,4
Kompolt,74,1-4,5,6,1
Kompolt,96,1-4,5,6,1
Komádi,1,1-4,81,101,20
Komádi,1,5-9,5,6,1
Komádi,43,1-4,33,41,8
Komádi,45,1-4,12,15,3
Komádi,46,1-4,6,8,2
Komádi,47,1-4,33,41,8
Komádi,56,1-4,11,14,3
Komádi,66,1-4,6,8,2
Komádi,69,1-4,10,12,2
Komádi,74,1-4,7,9,2
Komádi,85,1-4,8,10,2
Komádi,86,1-4,14,17,3
Komádi,96,1-4,19,24,5
Komárom,1,1-4,53,66,13
Komárom,13,1-4,5,6,1
Komárom,16,1-4,8,10,2
Komárom,41,1-4,21,26,5
Komárom,42,1-4,7,9,2
Komárom,43,1-4,214,266,52
Komárom,43,10-19,6,8,2
Komárom,43,5-9,13,16,3
Komárom,45,1-4,35,44,9
Komárom,46,1-4,43,54,11
Komárom,46,5-9,9,11,2
Komárom,47,1-4,128,159,31
Komárom,47,10-19,5,6,1
Komárom,47,5-9,17,21,4
Komárom,49,1-4,35,44,9
Komárom,49,5-9,5,6,1
Komárom,52,1-4,11,14,3
Komárom,53,1-4,10,12,2
Komárom,55,1-4,6,8,2
Komárom,56,1-4,46,57,11
Komárom,56,10-19,5,6,1
Komárom,56,5-9,7,9,2
Komárom,59,1-4,8,10,2
Komárom,62,1-4,42,52,10
Komárom,66,1-4,44,55,11
Komárom,68,1-4,45,56,11
Komárom,69,1-4,68,85,17
Komárom,69,5-9,9,11,2
Komárom,70,1-4,31,39,8
Komárom,73,1-4,9,11,2
Komárom,74,1-4,63,78,15
Komárom,77,1-4,11,14,3
Komárom,81,1-4,42,52,10
Komárom,81,5-9,7,9,2
Komárom,82,1-4,46,57,11
Komárom,85,1-4,69,86,17
Komárom,85,10-19,7,9,2
Komárom,86,1-4,56,70,14
Komárom,90,1-4,25,31,6
Komárom,93,1-4,25,31,6
Komárom,94,1-4,5,6,1
Komárom,95,1-4,18,22,4
Komárom,96,1-4,147,183,36
Kondorfa,1,1-4,5,6,1
Kondoros,1,1-4,113,141,28
Kondoros,25,10-19,6,8,2
Kondoros,41,1-4,5,6,1
Kondoros,43,1-4,65,81,16
Kondoros,45,1-4,9,11,2
Kondoros,46,1-4,6,8,2
Kondoros,47,1-4,37,46,9
Kondoros,56,1-4,8,10,2
Kondoros,62,1-4,5,6,1
Kondoros,66,1-4,11,14,3
Kondoros,68,1-4,7,9,2
Kondoros,69,1-4,10,12,2
Kondoros,70,1-4,7,9,2
Kondoros,74,1-4,12,15,3
Kondoros,85,1-4,9,11,2
Kondoros,86,1-4,8,10,2
Kondoros,90,1-4,7,9,2
Kondoros,96,1-4,17,21,4
Kondó,43,1-4,6,8,2
Konyár,1,1-4,39,49,10
Konyár,41,1-4,6,8,2
Konyár,43,1-4,16,20,4
Konyár,47,1-4,15,19,4
Koroncó,1,1-4,20,25,5
Kosd,1,1-4,18,22,4
Kosd,10,1-4,5,6,1
Kosd,25,1-4,5,6,1
Kosd,41,1-4,6,8,2
Kosd,43,1-4,40,50,10
Kosd,45,1-4,5,6,1
Kosd,47,1-4,19,24,5
Kosd,49,1-4,10,12,2
Kosd,56,1-4,5,6,1
Kosd,62,1-4,10,12,2
Kosd,66,1-4,11,14,3
Kosd,69,1-4,8,10,2
Kosd,70,1-4,7,9,2
Kosd,74,1-4,11,14,3
Kosd,85,1-4,12,15,3
Kosd,93,1-4,5,6,1
Kosd,96,1-4,12,15,3
Kovácshida,1,1-4,6,8,2
Kovácshida,25,1-4,5,6,1
Kovácsvágás,2,1-4,5,6,1
Kozárd,1,1-4,6,8,2
Kozárd,25,1-4,15,19,4
Kozárd,31,20-49,8,10,2
Kozárd,32,20-49,14,17,3
Kozármisleny,1,1-4,15,19,4
Kozármisleny,25,10-19,13,16,3
Kozármisleny,25,5-9,13,16,3
Kozármisleny,41,1-4,28,35,7
Kozármisleny,42,1-4,5,6,1
Kozármisleny,43,1-4,106,132,26
Kozármisleny,45,1-4,24,30,6
Kozármisleny,46,1-4,21,26,5
Kozármisleny,47,1-4,61,76,15
Kozármisleny,47,5-9,6,8,2
Kozármisleny,49,1-4,21,26,5
Kozármisleny,53,1-4,8,10,2
Kozármisleny,56,1-4,8,10,2
Kozármisleny,58,1-4,5,6,1
Kozármisleny,62,1-4,32,40,8
Kozármisleny,63,1-4,5,6,1
Kozármisleny,66,1-4,23,29,6
Kozármisleny,68,1-4,35,44,9
Kozármisleny,69,1-4,21,26,5
Kozármisleny,70,1-4,33,41,8
Kozármisleny,73,1-4,7,9,2
Kozármisleny,74,1-4,47,58,11
Kozármisleny,77,1-4,5,6,1
Kozármisleny,81,1-4,13,16,3
Kozármisleny,82,1-4,18,22,4
Kozármisleny,85,1-4,47,58,11
Kozármisleny,86,1-4,38,47,9
Kozármisleny,90,1-4,12,15,3
Kozármisleny,93,1-4,7,9,2
Kozármisleny,95,1-4,11,14,3
Kozármisleny,96,1-4,48,60,12
Kulcs,1,1-4,5,6,1
Kulcs,41,1-4,13,16,3
Kulcs,43,1-4,56,70,14
Kulcs,43,5-9,5,6,1
Kulcs,45,1-4,10,12,2
Kulcs,47,1-4,21,26,5
Kulcs,49,1-4,14,17,3
Kulcs,59,1-4,5,6,1
Kulcs,62,1-4,7,9,2
Kulcs,66,1-4,8,10,2
Kulcs,69,1-4,10,12,2
Kulcs,70,1-4,8,10,2
Kulcs,74,1-4,13,16,3
Kulcs,81,1-4,10,12,2
Kulcs,85,1-4,7,9,2
Kulcs,86,1-4,12,15,3
Kulcs,90,1-4,8,10,2
Kulcs,96,1-4,21,26,5
Kunadacs,1,1-4,96,119,23
Kunadacs,43,1-4,9,11,2
Kunadacs,45,1-4,5,6,1
Kunadacs,47,1-4,7,9,2
Kunadacs,49,1-4,6,8,2
Kunadacs,96,1-4,8,10,2
Kunbaja,1,1-4,14,17,3
Kunbaja,43,1-4,6,8,2
Kunbaja,47,1-4,7,9,2
Kunbaja,49,1-4,5,6,1
Kunbaracs,1,1-4,30,37,7
Kunbaracs,43,1-4,5,6,1
Kuncsorba,1,1-4,13,16,3
Kunfehértó,1,1-4,48,60,12
Kunfehértó,22,5-9,5,6,1
Kunfehértó,25,5-9,51,63,12
Kunfehértó,25,50-249,34,42,8
Kunfehértó,28,5-9,10,12,2
Kunfehértó,28,50-249,6,8,2
Kunfehértó,31,5-9,8,10,2
Kunfehértó,31,50-249,7,9,2
Kunfehértó,32,5-9,14,17,3
Kunfehértó,32,50-249,10,12,2
Kunfehértó,33,5-9,18,22,4
Kunfehértó,33,50-249,14,17,3
Kunfehértó,43,1-4,14,17,3
Kunfehértó,47,1-4,14,17,3
Kunfehértó,56,1-4,7,9,2
Kunfehértó,69,1-4,7,9,2
Kunfehértó,86,1-4,7,9,2
Kunfehértó,96,1-4,13,16,3
Kunhegyes,1,1-4,68,85,17
Kunhegyes,16,1-4,5,6,1
Kunhegyes,41,1-4,22,27,5
Kunhegyes,41,5-9,8,10,2
Kunhegyes,42,1-4,8,10,2
Kunhegyes,43,1-4,59,73,14
Kunhegyes,45,1-4,7,9,2
Kunhegyes,47,1-4,53,66,13
Kunhegyes,49,1-4,11,14,3
Kunhegyes,56,1-4,17,21,4
Kunhegyes,56,5-9,6,8,2
Kunhegyes,62,1-4,7,9,2
Kunhegyes,66,1-4,11,14,3
Kunhegyes,68,1-4,7,9,2
Kunhegyes,69,1-4,16,20,4
Kunhegyes,74,1-4,7,9,2
Kunhegyes,82,1-4,7,9,2
Kunhegyes,85,1-4,5,6,1
Kunhegyes,86,1-4,11,14,3
Kunhegyes,95,1-4,5,6,1
Kunhegyes,96,1-4,26,32,6
Kunmadaras,1,1-4,53,66,13
Kunmadaras,25,1-4,7,9,2
Kunmadaras,41,1-4,5,6,1
Kunmadaras,42,1-4,14,17,3
Kunmadaras,43,1-4,12,15,3
Kunmadaras,47,1-4,15,19,4
Kunmadaras,47,5-9,7,9,2
Kunmadaras,56,1-4,8,10,2
Kunmadaras,96,1-4,10,12,2
Kunpeszér,1,1-4,30,37,7
Kunpeszér,43,1-4,12,15,3
Kunszentmiklós,1,1-4,121,150,29
Kunszentmiklós,25,50-249,6,8,2
Kunszentmiklós,33,50-249,5,6,1
Kunszentmiklós,41,1-4,6,8,2
Kunszentmiklós,41,5-9,6,8,2
Kunszentmiklós,43,1-4,95,118,23
Kunszentmiklós,43,10-19,6,8,2
Kunszentmiklós,43,5-9,7,9,2
Kunszentmiklós,45,1-4,15,19,4
Kunszentmiklós,47,1-4,73,91,18
Kunszentmiklós,47,5-9,8,10,2
Kunszentmiklós,49,1-4,33,41,8
Kunszentmiklós,49,5-9,10,12,2
Kunszentmiklós,52,1-4,6,8,2
Kunszentmiklós,56,1-4,11,14,3
Kunszentmiklós,62,1-4,7,9,2
Kunszentmiklós,66,1-4,5,6,1
Kunszentmiklós,68,1-4,9,11,2
Kunszentmiklós,69,1-4,20,25,5
Kunszentmiklós,70,1-4,6,8,2
Kunszentmiklós,74,1-4,30,37,7
Kunszentmiklós,81,1-4,5,6,1
Kunszentmiklós,82,1-4,8,10,2
Kunszentmiklós,85,1-4,28,35,7
Kunszentmiklós,86,1-4,7,9,2
Kunszentmiklós,90,1-4,12,15,3
Kunszentmiklós,93,1-4,9,11,2
Kunszentmiklós,96,1-4,47,58,11
Kunszentmárton,1,1-4,103,128,25
Kunszentmárton,1,5-9,9,11,2
Kunszentmárton,16,1-4,6,8,2
Kunszentmárton,25,20-49,5,6,1
Kunszentmárton,25,5-9,5,6,1
Kunszentmárton,43,1-4,68,85,17
Kunszentmárton,45,1-4,11,14,3
Kunszentmárton,46,1-4,8,10,2
Kunszentmárton,47,1-4,50,62,12
Kunszentmárton,47,5-9,7,9,2
Kunszentmárton,49,1-4,12,15,3
Kunszentmárton,55,1-4,5,6,1
Kunszentmárton,56,1-4,21,26,5
Kunszentmárton,62,1-4,9,11,2
Kunszentmárton,63,1-4,5,6,1
Kunszentmárton,66,1-4,12,15,3
Kunszentmárton,68,1-4,9,11,2
Kunszentmárton,69,1-4,21,26,5
Kunszentmárton,70,1-4,8,10,2
Kunszentmárton,74,1-4,15,19,4
Kunszentmárton,81,1-4,11,14,3
Kunszentmárton,82,1-4,7,9,2
Kunszentmárton,85,1-4,11,14,3
Kunszentmárton,86,1-4,18,22,4
Kunszentmárton,90,1-4,10,12,2
Kunszentmárton,93,1-4,7,9,2
Kunszentmárton,94,1-4,5,6,1
Kunszentmárton,96,1-4,46,57,11
Kunsziget,1,1-4,5,6,1
Kunszállás,1,1-4,46,57,11
Kunszállás,43,1-4,26,32,6
Kunszállás,45,1-4,8,10,2
Kunszállás,47,1-4,9,11,2
Kunszállás,62,1-4,5,6,1
Kunszállás,82,1-4,5,6,1
Kunszállás,96,1-4,7,9,2
Kunágota,1,1-4,70,87,17
Kunágota,43,1-4,7,9,2
Kunágota,47,1-4,7,9,2
Kunágota,66,1-4,6,8,2
Kunágota,96,1-4,7,9,2
Kup,1,1-4,7,9,2
Kurd,1,1-4,10,12,2
Kurd,31,1-4,12,15,3
Kurd,31,5-9,7,9,2
Kurd,32,1-4,29,36,7
Kurd,32,5-9,18,22,4
Kurd,33,1-4,22,27,5
Kurd,33,5-9,20,25,5
Kurd,43,1-4,11,14,3
Kurd,47,1-4,7,9,2
Kurd,56,1-4,5,6,1
Kurd,96,1-4,6,8,2
Kurityán,43,1-4,6,8,2
Kurityán,47,1-4,13,16,3
Kurityán,96,1-4,7,9,2
Kustánszeg,1,1-4,6,8,2
Kutas,1,1-4,18,22,4
Kutas,43,1-4,8,10,2
Kutas,47,1-4,9,11,2
Kács,2,1-4,5,6,1
Kál,1,1-4,29,36,7
Kál,43,1-4,13,16,3
Kál,47,1-4,15,19,4
Kál,81,1-4,5,6,1
Kál,82,1-4,6,8,2
Kál,96,1-4,12,15,3
Kálló,25,1-4,10,12,2
Kálló,43,1-4,11,14,3
Kálló,47,1-4,9,11,2
Kállósemjén,1,1-4,44,55,11
Kállósemjén,1,5-9,7,9,2
Kállósemjén,43,1-4,32,40,8
Kállósemjén,45,1-4,12,15,3
Kállósemjén,47,1-4,24,30,6
Kállósemjén,49,1-4,6,8,2
Kállósemjén,69,1-4,5,6,1
Kállósemjén,85,1-4,8,10,2
Kállósemjén,86,1-4,6,8,2
Kállósemjén,96,1-4,9,11,2
Kálmáncsa,1,1-4,6,8,2
Kálmánháza,1,1-4,68,85,17
Kálmánháza,43,1-4,16,20,4
Kálmánháza,45,1-4,9,11,2
Kálmánháza,47,1-4,15,19,4
Kálmánháza,66,1-4,6,8,2
Kálmánháza,96,1-4,7,9,2
Káloz,1,1-4,34,42,8
Káloz,43,1-4,33,41,8
Káloz,47,1-4,16,20,4
Káloz,86,1-4,5,6,1
Káloz,96,1-4,5,6,1
Kántorjánosi,1,1-4,31,39,8
Kántorjánosi,43,1-4,13,16,3
Kántorjánosi,45,1-4,7,9,2
Kántorjánosi,47,1-4,5,6,1
Kánya,1,1-4,7,9,2
Kápolna,43,1-4,10,12,2
Kápolna,47,1-4,6,8,2
Kápolnásnyék,1,1-4,20,25,5
Kápolnásnyék,22,1-4,6,8,2
Kápolnásnyék,23,1-4,8,10,2
Kápolnásnyék,23,5-9,6,8,2
Kápolnásnyék,25,1-4,31,39,8
Kápolnásnyék,25,5-9,23,29,6
Kápolnásnyék,28,1-4,10,12,2
Kápolnásnyék,28,5-9,6,8,2
Kápolnásnyék,30,1-4,5,6,1
Kápolnásnyék,31,1-4,21,26,5
Kápolnásnyék,31,5-9,14,17,3
Kápolnásnyék,32,1-4,31,39,8
Kápolnásnyék,32,5-9,18,22,4
Kápolnásnyék,33,1-4,38,47,9
Kápolnásnyék,33,5-9,31,39,8
Kápolnásnyék,41,1-4,10,12,2
Kápolnásnyék,42,1-4,5,6,1
Kápolnásnyék,43,1-4,43,54,11
Kápolnásnyék,45,1-4,10,12,2
Kápolnásnyék,46,1-4,10,12,2
Kápolnásnyék,47,1-4,24,30,6
Kápolnásnyék,47,5-9,5,6,1
Kápolnásnyék,49,1-4,5,6,1
Kápolnásnyék,56,1-4,8,10,2
Kápolnásnyék,62,1-4,16,20,4
