settlement,teaor,bin,count,generated_count,diff
Baj,1,1-4,6,8,2
Baj,33,1-4,6,8,2
Baj,41,1-4,5,6,1
Baj,43,1-4,39,49,10
Baj,43,5-9,5,6,1
Baj,45,1-4,6,8,2
Baj,46,1-4,8,10,2
Baj,47,1-4,21,26,5
Baj,49,1-4,11,14,3
Baj,53,1-4,6,8,2
Baj,62,1-4,8,10,2
Baj,68,1-4,8,10,2
Baj,69,1-4,12,15,3
Baj,70,1-4,5,6,1
Baj,74,1-4,16,20,4
Baj,81,1-4,6,8,2
Baj,82,1-4,8,10,2
Baj,85,1-4,10,12,2
Baj,96,1-4,26,32,6
Baja,1,1-4,160,199,39
Baja,1,5-9,8,10,2
Baja,10,1-4,16,20,4
Baja,10,5-9,7,9,2
Baja,11,1-4,5,6,1
Baja,13,1-4,8,10,2
Baja,14,1-4,5,6,1
Baja,2,1-4,10,12,2
Baja,35,1-4,10,12,2
Baja,41,1-4,30,37,7
Baja,41,10-19,7,9,2
Baja,41,5-9,7,9,2
Baja,42,1-4,17,21,4
Baja,42,5-9,5,6,1
Baja,43,1-4,316,393,77
Baja,43,10-19,7,9,2
Baja,43,5-9,29,36,7
Baja,45,1-4,134,167,33
Baja,45,10-19,7,9,2
Baja,45,5-9,12,15,3
Baja,46,1-4,82,102,20
Baja,46,10-19,12,15,3
Baja,46,20-49,5,6,1
Baja,46,5-9,14,17,3
Baja,47,1-4,383,476,93
Baja,47,10-19,24,30,6
Baja,47,20-49,7,9,2
Baja,47,5-9,62,77,15
Baja,49,1-4,73,91,18
Baja,52,1-4,8,10,2
Baja,53,1-4,14,17,3
Baja,55,1-4,13,16,3
Baja,56,1-4,81,101,20
Baja,56,10-19,13,16,3
Baja,56,5-9,11,14,3
Baja,58,1-4,12,15,3
Baja,59,1-4,5,6,1
Baja,62,1-4,74,92,18
Baja,63,1-4,20,25,5
Baja,66,1-4,94,117,23
Baja,68,1-4,101,126,25
Baja,69,1-4,197,245,48
Baja,69,5-9,6,8,2
Baja,70,1-4,80,99,19
Baja,72,1-4,7,9,2
Baja,73,1-4,30,37,7
Baja,74,1-4,107,133,26
Baja,75,1-4,12,15,3
Baja,77,1-4,24,30,6
Baja,80,1-4,6,8,2
Baja,81,1-4,60,75,15
Baja,82,1-4,62,77,15
Baja,85,1-4,139,173,34
Baja,85,5-9,5,6,1
Baja,86,1-4,143,178,35
Baja,86,5-9,6,8,2
Baja,90,1-4,43,54,11
Baja,93,1-4,54,67,13
Baja,94,1-4,10,12,2
Baja,95,1-4,29,36,7
Baja,96,1-4,271,337,66
Baja,96,5-9,5,6,1
Bajna,1,1-4,11,14,3
Bajna,43,1-4,38,47,9
Bajna,47,1-4,20,25,5
Bajna,49,1-4,8,10,2
Bajna,56,1-4,5,6,1
Bajna,70,1-4,5,6,1
Bajna,96,1-4,9,11,2
Bajót,43,1-4,27,34,7
Bajót,47,1-4,7,9,2
Bajót,49,1-4,6,8,2
Bajót,81,1-4,6,8,2
Bak,1,1-4,18,22,4
Bakonszeg,1,1-4,38,47,9
Bakonszeg,25,1-4,23,29,6
Bakonszeg,25,10-19,14,17,3
Bakonszeg,32,1-4,17,21,4
Bakonszeg,32,10-19,8,10,2
Bakonszeg,33,1-4,8,10,2
Bakonszeg,33,10-19,8,10,2
Bakonszeg,43,1-4,7,9,2
Bakonszeg,47,1-4,6,8,2
Bakonybánk,1,1-4,6,8,2
Bakonybél,16,1-4,15,19,4
Bakonybél,2,1-4,10,12,2
Bakonybél,43,1-4,15,19,4
Bakonybél,47,1-4,12,15,3
